# Results for 10 iterations on 1 - 16 threads.
# threads	time per iteration (s)
1	0.00213626
1	0.0020917
1	0.00204734
1	0.00189544
1	0.00201744
1	0.00202632
1	0.00206385
1	0.00186526
1	0.00191643
1	0.00191412
2	0.00197447
2	0.00184733
2	0.00203803
2	0.0022978
2	0.00210645
2	0.0019025
2	0.00197113
2	0.00195814
2	0.00191708
2	0.00183815
3	0.00204789
3	0.00194982
3	0.00210139
3	0.00200544
3	0.00196592
3	0.00195634
3	0.00182798
3	0.00199262
3	0.00191153
3	0.00193615
4	0.00189925
4	0.00191295
4	0.00196188
4	0.00190328
4	0.00187302
4	0.00190959
4	0.00195177
4	0.00215613
4	0.00196453
4	0.00201005
5	0.00191162
5	0.00193458
5	0.00189963
5	0.00190769
5	0.00183471
5	0.00190473
5	0.00189919
5	0.00209592
5	0.00189184
5	0.00188984
6	0.0017823
6	0.00197758
6	0.00194047
6	0.00196443
6	0.00188092
6	0.00201752
6	0.00200026
6	0.00197927
6	0.00186053
6	0.0018384
7	0.00189229
7	0.00193281
7	0.00183205
7	0.00187099
7	0.00192205
7	0.00190829
7	0.00180814
7	0.00192084
7	0.0018853
7	0.00186744
8	0.00190871
8	0.00187368
8	0.00180123
8	0.00192169
8	0.00188278
8	0.00189019
8	0.00197902
8	0.0018235
8	0.00185204
8	0.00202307
9	0.00194905
9	0.00192209
9	0.00194225
9	0.00191436
9	0.0019618
9	0.00194331
9	0.00187113
9	0.00192559
9	0.00186409
9	0.00197694
10	0.00202001
10	0.00193585
10	0.00185695
10	0.00185099
10	0.00189637
10	0.00196167
10	0.00188636
10	0.0019651
10	0.001933
10	0.00185363
11	0.00183463
11	0.00181999
11	0.00182615
11	0.00183864
11	0.0017006
11	0.00186427
11	0.0018137
11	0.00191158
11	0.0018667
11	0.00189786
12	0.00181073
12	0.00200223
12	0.00196994
12	0.00182468
12	0.00179626
12	0.00184089
12	0.00187533
12	0.00195827
12	0.00192351
12	0.00192851
13	0.00186291
13	0.00185306
13	0.00188846
13	0.00188565
13	0.00195834
13	0.00184752
13	0.00182739
13	0.00193202
13	0.00185741
13	0.00193473
14	0.00182575
14	0.00190163
14	0.00190498
14	0.00192002
14	0.00187175
14	0.00187355
14	0.00188836
14	0.00186016
14	0.00182588
14	0.00191904
15	0.00178012
15	0.00190813
15	0.00187707
15	0.0018503
15	0.00183267
15	0.00192595
15	0.00184851
15	0.00186685
15	0.00193098
15	0.00197489
16	0.00181888
16	0.00183427
16	0.00187804
16	0.00183663
16	0.0020731
16	0.0019551
16	0.0019824
16	0.00187261
16	0.001924
16	0.00191238
