# Results for 10 iterations on 1 - 16 threads.
# threads	time per iteration (s)
1	0.0019053
1	0.00186578
1	0.00185575
1	0.00180078
1	0.0019519
1	0.00191266
1	0.00199502
1	0.00185359
1	0.00192745
1	0.00185185
2	0.00185783
2	0.00196159
2	0.00193847
2	0.00198805
2	0.00192844
2	0.00192228
2	0.00175315
2	0.00188101
2	0.00187579
2	0.00187171
3	0.00188075
3	0.00189475
3	0.00190102
3	0.00198675
3	0.00183192
3	0.00185317
3	0.00186882
3	0.00186256
3	0.00199132
3	0.00186844
4	0.00180665
4	0.00193622
4	0.0020512
4	0.00193706
4	0.00190221
4	0.0019939
4	0.00182933
4	0.00195068
4	0.00189281
4	0.00191323
5	0.00192223
5	0.00188597
5	0.00188611
5	0.00191316
5	0.00193374
5	0.00183092
5	0.00188137
5	0.00189656
5	0.00188081
5	0.00191694
6	0.00185838
6	0.00181849
6	0.00184616
6	0.001957
6	0.00186515
6	0.00191199
6	0.00183562
6	0.00185767
6	0.00192197
6	0.00194098
7	0.00187785
7	0.00189018
7	0.00192841
7	0.00200248
7	0.00187618
7	0.00186295
7	0.00196297
7	0.00185591
7	0.00190597
7	0.0018831
8	0.00187875
8	0.0018223
8	0.00192685
8	0.00176518
8	0.00182974
8	0.00202128
8	0.00187481
8	0.00176461
8	0.00182124
8	0.00191682
9	0.00191286
9	0.00186189
9	0.00185037
9	0.00184523
9	0.00187351
9	0.00185344
9	0.00190951
9	0.00187314
9	0.00183232
9	0.00185811
10	0.00190789
10	0.0019139
10	0.00183791
10	0.00194483
10	0.00194086
10	0.00184468
10	0.00204388
10	0.00183506
10	0.00188513
10	0.00186776
11	0.00184606
11	0.00186861
11	0.00192455
11	0.0019908
11	0.00198752
11	0.00192398
11	0.00201824
11	0.00192207
11	0.00186972
11	0.00194242
12	0.00199571
12	0.00190325
12	0.00188523
12	0.00196658
12	0.00190122
12	0.00188906
12	0.00187427
12	0.00194326
12	0.00203032
12	0.00190052
13	0.00192276
13	0.00177654
13	0.00178613
13	0.00179228
13	0.00184653
13	0.00195754
13	0.00188757
13	0.00182764
13	0.00196422
13	0.00198268
14	0.0018817
14	0.00195252
14	0.00189881
14	0.00188809
14	0.00193666
14	0.00185971
14	0.00184067
14	0.0018434
14	0.00188289
14	0.00186982
15	0.00185295
15	0.00185793
15	0.00193583
15	0.00188246
15	0.00189596
15	0.00184457
15	0.001893
15	0.00189812
15	0.00188843
15	0.00181529
16	0.00194715
16	0.00197013
16	0.00196909
16	0.00190525
16	0.00195512
16	0.00184874
16	0.00200471
16	0.00192346
16	0.00177853
16	0.00188855
